"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Injury Intent"	"Injury Intent Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"10-14 years"	"10-14"	3	1796019	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"15-19 years"	"15-19"	15	2130465	0.7 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"20-24 years"	"20-24"	11	2355965	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"25-34 years"	"25-34"	26	4243015	0.6
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"35-44 years"	"35-44"	6	2814938	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"45-54 years"	"45-54"	2	2359934	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E922.0"	"Unintentional "	"1"	"55-64 years"	"55-64"	5	2194568	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"5-9 years"	"5-9"	2	1650348	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"10-14 years"	"10-14"	1	1796019	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"15-19 years"	"15-19"	4	2130465	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"20-24 years"	"20-24"	4	2355965	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"25-34 years"	"25-34"	2	4243015	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"35-44 years"	"35-44"	1	2814938	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"45-54 years"	"45-54"	1	2359934	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"55-64 years"	"55-64"	2	2194568	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"5-9 years"	"5-9"	2	1650348	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"10-14 years"	"10-14"	1	1796019	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"15-19 years"	"15-19"	2	2130465	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"20-24 years"	"20-24"	2	2355965	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"25-34 years"	"25-34"	3	4243015	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"35-44 years"	"35-44"	1	2814938	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"45-54 years"	"45-54"	1	2359934	0.0 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"5-9 years"	"5-9"	2	1650348	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"10-14 years"	"10-14"	6	1796019	0.3 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"15-19 years"	"15-19"	15	2130465	0.7 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"20-24 years"	"20-24"	13	2355965	0.6 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"25-34 years"	"25-34"	26	4243015	0.6
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"35-44 years"	"35-44"	13	2814938	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"45-54 years"	"45-54"	7	2359934	0.3 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"55-64 years"	"55-64"	7	2194568	0.3 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"65-74 years"	"65-74"	2	1470978	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"85+ years"	"85+"	1	218017	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"10-14 years"	"10-14"	3	1796019	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"15-19 years"	"15-19"	23	2130465	1.1
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"20-24 years"	"20-24"	41	2355965	1.7
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"25-34 years"	"25-34"	89	4243015	2.1
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"35-44 years"	"35-44"	62	2814938	2.2
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"45-54 years"	"45-54"	53	2359934	2.2
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"55-64 years"	"55-64"	57	2194568	2.6
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"65-74 years"	"65-74"	56	1470978	3.8
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"75-84 years"	"75-84"	22	725255	3.0
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"85+ years"	"85+"	18	218017	8.3 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E955.0"	"Suicide"	"2"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"10-14 years"	"10-14"	1	1796019	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"15-19 years"	"15-19"	11	2130465	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"20-24 years"	"20-24"	35	2355965	1.5
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"25-34 years"	"25-34"	35	4243015	0.8
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"35-44 years"	"35-44"	30	2814938	1.1
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"45-54 years"	"45-54"	23	2359934	1.0
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"55-64 years"	"55-64"	25	2194568	1.1
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"65-74 years"	"65-74"	27	1470978	1.8
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"75-84 years"	"75-84"	9	725255	1.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E955.1"	"Suicide"	"2"	"85+ years"	"85+"	1	218017	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"15-19 years"	"15-19"	15	2130465	0.7 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"20-24 years"	"20-24"	21	2355965	0.9
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"25-34 years"	"25-34"	47	4243015	1.1
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"35-44 years"	"35-44"	20	2814938	0.7
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"45-54 years"	"45-54"	17	2359934	0.7 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"55-64 years"	"55-64"	17	2194568	0.8 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"65-74 years"	"65-74"	11	1470978	0.7 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"75-84 years"	"75-84"	5	725255	0.7 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"85+ years"	"85+"	1	218017	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"10-14 years"	"10-14"	4	1796019	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"15-19 years"	"15-19"	73	2130465	3.4
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"20-24 years"	"20-24"	91	2355965	3.9
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"25-34 years"	"25-34"	216	4243015	5.1
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"35-44 years"	"35-44"	136	2814938	4.8
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"45-54 years"	"45-54"	127	2359934	5.4
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"55-64 years"	"55-64"	113	2194568	5.1
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"65-74 years"	"65-74"	82	1470978	5.6
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"75-84 years"	"75-84"	52	725255	7.2
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"85+ years"	"85+"	16	218017	7.3 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
	"California"	"06"	"1980"	"1980"	"Handgun"	"E965.0"	"Homicide"	"3"	"10-14 years"	"10-14"	1	1796019	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E965.0"	"Homicide"	"3"	"15-19 years"	"15-19"	10	2130465	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E965.0"	"Homicide"	"3"	"20-24 years"	"20-24"	18	2355965	0.8 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E965.0"	"Homicide"	"3"	"25-34 years"	"25-34"	48	4243015	1.1
	"California"	"06"	"1980"	"1980"	"Handgun"	"E965.0"	"Homicide"	"3"	"35-44 years"	"35-44"	24	2814938	0.9
	"California"	"06"	"1980"	"1980"	"Handgun"	"E965.0"	"Homicide"	"3"	"45-54 years"	"45-54"	10	2359934	0.4 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E965.0"	"Homicide"	"3"	"55-64 years"	"55-64"	6	2194568	0.3 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Handgun"	"E965.0"	"Homicide"	"3"	"65-74 years"	"65-74"	2	1470978	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"1-4 years"	"1-4"	1	1366732	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"10-14 years"	"10-14"	3	1796019	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"15-19 years"	"15-19"	37	2130465	1.7
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"20-24 years"	"20-24"	58	2355965	2.5
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"25-34 years"	"25-34"	73	4243015	1.7
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"35-44 years"	"35-44"	30	2814938	1.1
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"45-54 years"	"45-54"	21	2359934	0.9
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"55-64 years"	"55-64"	3	2194568	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"65-74 years"	"65-74"	1	1470978	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"75-84 years"	"75-84"	3	725255	0.4 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"85+ years"	"85+"	1	218017	0.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Shotgun"	"E965.1"	"Homicide"	"3"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E965.2"	"Homicide"	"3"	"15-19 years"	"15-19"	4	2130465	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E965.2"	"Homicide"	"3"	"20-24 years"	"20-24"	4	2355965	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E965.2"	"Homicide"	"3"	"25-34 years"	"25-34"	7	4243015	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E965.2"	"Homicide"	"3"	"35-44 years"	"35-44"	5	2814938	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E965.2"	"Homicide"	"3"	"65-74 years"	"65-74"	3	1470978	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E965.2"	"Homicide"	"3"	"75-84 years"	"75-84"	1	725255	0.1 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Hunting rifle"	"E965.2"	"Homicide"	"3"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"1-4 years"	"1-4"	5	1366732	0.4 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"5-9 years"	"5-9"	4	1650348	0.2 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"10-14 years"	"10-14"	20	1796019	1.1
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"15-19 years"	"15-19"	273	2130465	12.8
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"20-24 years"	"20-24"	364	2355965	15.5
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"25-34 years"	"25-34"	545	4243015	12.8
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"35-44 years"	"35-44"	265	2814938	9.4
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"45-54 years"	"45-54"	131	2359934	5.6
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"55-64 years"	"55-64"	72	2194568	3.3
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"65-74 years"	"65-74"	40	1470978	2.7
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"75-84 years"	"75-84"	11	725255	1.5 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"85+ years"	"85+"	2	218017	0.9 (Unreliable)
	"California"	"06"	"1980"	"1980"	"Other and unspecified firearm"	"E965.4"	"Homicide"	"3"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"1-4 years"	"1-4"	2	1449882	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"5-9 years"	"5-9"	1	1614912	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"15-19 years"	"15-19"	8	2077967	0.4 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"20-24 years"	"20-24"	11	2407758	0.5 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"25-34 years"	"25-34"	12	4544551	0.3 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"35-44 years"	"35-44"	2	2941526	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"45-54 years"	"45-54"	2	2349612	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"55-64 years"	"55-64"	4	2226881	0.2 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E922.0"	"Unintentional "	"1"	"65-74 years"	"65-74"	1	1513488	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"1-4 years"	"1-4"	1	1449882	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"5-9 years"	"5-9"	1	1614912	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"10-14 years"	"10-14"	1	1819372	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"15-19 years"	"15-19"	3	2077967	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"20-24 years"	"20-24"	2	2407758	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"25-34 years"	"25-34"	1	4544551	0.0 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"35-44 years"	"35-44"	1	2941526	0.0 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun (automatic)"	"E922.1"	"Unintentional "	"1"	"85+ years"	"85+"	1	227754	0.4 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"5-9 years"	"5-9"	1	1614912	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"10-14 years"	"10-14"	3	1819372	0.2 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"15-19 years"	"15-19"	4	2077967	0.2 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"20-24 years"	"20-24"	7	2407758	0.3 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"25-34 years"	"25-34"	1	4544551	0.0 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"45-54 years"	"45-54"	1	2349612	0.0 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E922.2"	"Unintentional "	"1"	"55-64 years"	"55-64"	1	2226881	0.0 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"1-4 years"	"1-4"	1	1449882	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"5-9 years"	"5-9"	5	1614912	0.3 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"10-14 years"	"10-14"	5	1819372	0.3 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"15-19 years"	"15-19"	12	2077967	0.6 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"20-24 years"	"20-24"	17	2407758	0.7 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"25-34 years"	"25-34"	16	4544551	0.4 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"35-44 years"	"35-44"	8	2941526	0.3 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"45-54 years"	"45-54"	6	2349612	0.3 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"55-64 years"	"55-64"	5	2226881	0.2 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Unspecified firearm missile"	"E922.9"	"Unintentional "	"1"	"85+ years"	"85+"	1	227754	0.4 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"10-14 years"	"10-14"	3	1819372	0.2 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"15-19 years"	"15-19"	26	2077967	1.3
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"20-24 years"	"20-24"	46	2407758	1.9
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"25-34 years"	"25-34"	97	4544551	2.1
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"35-44 years"	"35-44"	67	2941526	2.3
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"45-54 years"	"45-54"	67	2349612	2.9
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"55-64 years"	"55-64"	56	2226881	2.5
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"65-74 years"	"65-74"	54	1513488	3.6
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"75-84 years"	"75-84"	42	749844	5.6
	"California"	"06"	"1981"	"1981"	"Handgun"	"E955.0"	"Suicide"	"2"	"85+ years"	"85+"	9	227754	4.0 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"15-19 years"	"15-19"	16	2077967	0.8 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"20-24 years"	"20-24"	34	2407758	1.4
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"25-34 years"	"25-34"	53	4544551	1.2
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"35-44 years"	"35-44"	28	2941526	1.0
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"45-54 years"	"45-54"	15	2349612	0.6 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"55-64 years"	"55-64"	19	2226881	0.9 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"65-74 years"	"65-74"	16	1513488	1.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"75-84 years"	"75-84"	11	749844	1.5 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Shotgun"	"E955.1"	"Suicide"	"2"	"85+ years"	"85+"	5	227754	2.2 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"15-19 years"	"15-19"	19	2077967	0.9 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"20-24 years"	"20-24"	16	2407758	0.7 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"25-34 years"	"25-34"	37	4544551	0.8
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"35-44 years"	"35-44"	24	2941526	0.8
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"45-54 years"	"45-54"	19	2349612	0.8 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"55-64 years"	"55-64"	19	2226881	0.9 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"65-74 years"	"65-74"	12	1513488	0.8 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"75-84 years"	"75-84"	6	749844	0.8 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Hunting rifle"	"E955.2"	"Suicide"	"2"	"85+ years"	"85+"	3	227754	1.3 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"5-9 years"	"5-9"	1	1614912	0.1 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"10-14 years"	"10-14"	3	1819372	0.2 (Unreliable)
	"California"	"06"	"1981"	"1981"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"15-19 years"	"15-19"	51	2077967	2.5
	"California"	"06"	"1981"	"1981"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"20-24 years"	"20-24"	136	2407758	5.6
	"California"	"06"	"1981"	"1981"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"25-34 years"	"25-34"	225	4544551	5.0
	"California"	"06"	"1981"	"1981"	"Other and unspecified firearm"	"E955.4"	"Suicide"	"2"	"35-44 years"	"35-44"	164	2941526	5.6
