"Year","State","prop_owners","universl","permit","child","total_homicide_rate","total_suicide_rate"
1998,"Texas",0.466,0,0,1,5.06289944462117,7.66515894937401
1999,"Texas",0.421,0,0,1,4.31195403711321,6.93611909455208
2000,"Texas",0.417,0,0,1,4.26325126925642,7.05798607994387
2001,"Texas",0.377,0,0,1,5.00846264871629,8.16783517529038
2002,"Texas",0.379,0,0,1,4.38380089605108,7.07733030233123
2003,"Texas",0.362,0,0,1,4.86545801608616,7.0970242064851
2004,"Texas",0.368,0,0,1,4.99558993967186,7.48757608399655
2005,"Texas",0.376,0,0,1,4.94479837532792,7.04400523277846
2006,"Texas",0.363,0,0,1,4.88914211532804,6.55761874206873
2007,"Texas",0.392,0,0,1,4.68001117650127,6.82666884538373
2008,"Texas",0.367,0,0,1,4.63350281192359,7.18120005583541
2009,"Texas",0.357,0,0,1,4.87646268400611,8.14311775099841
2010,"Texas",0.346,0,0,1,4.3695639056708,8.65668320934781
2011,"Texas",0.378,0,0,1,3.77463712961877,8.37576356398718
2012,"Texas",0.426,0,0,1,4.05542580116297,8.52628546488409
2013,"Texas",0.364,0,0,1,4.05928658548709,8.50262543475081
2014,"Texas",0.385,0,0,1,3.80545023200402,7.66750327066256
2015,"Texas",0.336,0,0,1,4.46900679699191,8.48085897899515
2016,"Texas",0.355,0,0,1,4.81829402481972,8.46036980469652
